# Age (Gyr), MW Stellar Mass, LMC Stellar Mass, MW col (Bruzal), LMC col (Bruzal)
1.000000000000000056e-01,4.083874281069006305e+06,3.101501496083011851e+07,-5.279235387015053238e-01,-4.953317465506421047e-01
2.000000000000000111e-01,1.220404380908022448e+07,6.179004125576277077e+07,-4.556088173746611347e-01,-4.066170695451446493e-01
3.000000000000000444e-01,2.199959016413038969e+07,9.231486590294465423e+07,-3.934488493406856358e-01,-3.348490348427265451e-01
4.000000000000000222e-01,3.393481063046757132e+07,1.225265829094019681e+08,-3.607701203693394199e-01,-2.759559281457579227e-01
5.000000000000000000e-01,5.145425598298963159e+07,1.524871075195421875e+08,-3.526818926280940181e-01,-2.293298559030841621e-01
5.999999999999999778e-01,7.500501762324583530e+07,1.820166278727213144e+08,-3.349365846597398555e-01,-1.876715414110982361e-01
7.000000000000000666e-01,1.034409184145714790e+08,2.110000120030801594e+08,-3.082366802149527629e-01,-1.514800785294831698e-01
8.000000000000000444e-01,1.364570242998995185e+08,2.394372599106186628e+08,-2.839612775902995434e-01,-1.197216651995337139e-01
9.000000000000000222e-01,1.774315262779388130e+08,2.673283715953369439e+08,-2.792773686052621440e-01,-9.146328194270658685e-02
1.000000000000000000e+00,2.283771072467501462e+08,2.946763543962747455e+08,-2.715816276273677055e-01,-6.557337373406837977e-02
1.100000000000000089e+00,2.940866421234167814e+08,3.216135247015902400e+08,-2.789873460782780201e-01,-4.165718139270960241e-02
1.200000000000000178e+00,3.813696557436063886e+08,3.482317519085354805e+08,-2.852351086387628909e-01,-1.845287593093140888e-02
1.300000000000000266e+00,5.017580923623472452e+08,3.744890986884614825e+08,-2.948019296191357053e-01,4.407245860217241795e-04
1.400000000000000133e+00,6.596893666112878323e+08,4.003855650413680673e+08,-2.951095955570822160e-01,1.634910066934042866e-02
1.500000000000000222e+00,8.667548986079103947e+08,4.259775470656304359e+08,-2.925704337828912704e-01,3.071045464304520203e-02
1.600000000000000089e+00,1.123943240870004654e+09,4.510446481609038711e+08,-2.828510802966812676e-01,4.600338590239787251e-02
1.700000000000000178e+00,1.447824626592340469e+09,4.755951744466762543e+08,-2.841563673058205564e-01,6.112679136931413459e-02
1.800000000000000266e+00,1.904366005253436804e+09,4.996081572586234808e+08,-2.933714781478775069e-01,7.562052697673153634e-02
1.900000000000000133e+00,2.472876432308620453e+09,5.230835965967458487e+08,-2.857135144835697971e-01,8.957349430673756940e-02
2.000000000000000000e+00,3.222336731905871391e+09,5.460575732226394415e+08,-2.836700284075845957e-01,1.024882140360118682e-01
2.100000000000000089e+00,4.081102744939754009e+09,5.685746209641569853e+08,-2.650651118164091824e-01,1.145867094681025933e-01
2.200000000000000178e+00,5.101131045280859947e+09,5.906659457743779421e+08,-2.526017758816734848e-01,1.262059353015881624e-01
2.300000000000000266e+00,6.232826337384514809e+09,6.123009091144955158e+08,-2.301753896756341955e-01,1.373709424626211040e-01
2.400000000000000355e+00,7.479603332166532516e+09,6.335106924951037169e+08,-2.130386936209689719e-01,1.480674663096051558e-01
2.500000000000000444e+00,8.806383846425487518e+09,6.542533585875499249e+08,-1.872518905919008936e-01,1.584125677894094864e-01
