ID, Z-Index
2, 1.002
3, 1.031
5, 1.291
62, 1.102
120, 2.950
136, 1.066
333, 1.913
535, 1.055
596, 1.120
624, 1.059
686, 2.096
743, 1.658
810, 1.728
824, 2.510
886, 1.214
953, 1.146
1018, 1.044
1020, 1.149
1172, 1.019
1175, 1.059
1196, 2.278
1352, 1.154
1357, 1.136
1391, 1.108
1435, 1.374
1485, 1.046
1531, 1.897
1550, 1.088
1618, 1.169
1717, 2.447
1724, 1.250
1777, 1.823
1916, 1.108
1980, 3.277
2102, 1.571
2119, 1.375
2188, 1.997
2203, 1.755
2220, 2.113
2268, 1.285
2366, 1.740
2419, 2.052
2426, 2.020
2742, 1.118
2763, 1.642
2880, 2.508
2888, 1.287
2890, 1.335
2970, 1.024
3088, 1.229
3230, 1.797
3231, 1.254
3282, 2.439
3307, 1.324
3323, 1.358
3324, 1.095
3333, 2.062
3557, 1.434
3579, 1.894
3590, 1.089
3595, 1.795
3634, 2.211
3649, 3.770
3719, 1.223
3836, 1.502
3914, 1.174
3944, 1.672
4029, 1.625
4147, 1.112
4154, 2.210
4158, 1.227
4266, 2.326
4296, 1.617
4377, 1.620
4395, 2.220
4418, 1.255
4485, 1.547
4496, 2.072
4509, 2.226
4550, 1.705
4575, 2.307
4576, 2.220
4652, 1.361
4658, 2.225
4744, 2.172
4750, 1.763
4777, 2.183
4779, 2.237
4838, 1.245
4929, 1.087
4957, 1.532
4971, 2.845
5027, 1.250
5035, 1.787
5115, 1.425
5125, 1.928
5244, 1.909
5249, 1.330
5352, 1.720
5396, 1.247
5421, 1.011
5566, 1.241
5626, 1.718
5627, 1.076
5844, 1.469
5887, 1.063
5888, 1.458
5922, 1.115
5968, 1.707
5970, 1.297
6040, 1.067
6081, 1.265
6162, 1.273
6188, 1.101
6195, 1.145
6248, 1.964
6286, 1.320
6350, 2.408
6409, 1.018
6428, 2.283
6429, 1.922
6434, 1.767
6435, 1.781
6437, 1.939
6456, 1.642
6597, 1.223
6716, 1.783
6791, 1.261
6836, 1.512
6953, 2.289
6979, 1.226
7014, 2.459
7047, 1.598
7093, 1.168
7147, 2.197
7189, 1.705
7240, 1.096
7343, 1.188
7354, 1.692
7391, 1.715
7411, 1.878
7443, 1.193
7470, 1.482
7538, 2.115
7674, 2.248
7693, 1.716
7717, 1.517
7848, 1.242
7849, 1.453
7916, 1.642
7953, 1.233
7954, 2.202
8038, 1.977
8195, 1.460
8271, 1.602
8281, 1.394
8330, 1.261
8367, 1.466
8503, 1.262
8594, 2.344
8682, 1.261
8691, 1.157
8696, 1.296
8806, 1.242
8873, 1.056
8881, 2.378
8950, 2.547
8968, 2.718
8980, 1.254
9025, 3.346
9028, 1.400
9074, 1.055
9124, 2.344
9132, 1.540
